id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
2330,5,Not Graduate,No,1800000,7000000,18,466,2600000,2100000,6000000,1900000,0
2331,2,Graduate,Yes,2000000,7600000,16,429,5300000,3100000,5800000,2200000,0
2332,3,Graduate,Yes,7500000,25300000,12,767,13200000,10800000,19400000,9600000,1
2333,5,Graduate,No,3400000,13100000,20,527,900000,4500000,8600000,4000000,0
2334,3,Not Graduate,Yes,8400000,29500000,20,661,14600000,3400000,28900000,10900000,1
2335,0,Graduate,Yes,3000000,9600000,6,644,3900000,700000,10500000,3000000,1
2336,1,Graduate,No,500000,1300000,6,670,1000000,500000,1400000,700000,1
2337,2,Graduate,Yes,6100000,22300000,8,694,16200000,10900000,22900000,7200000,1
2338,3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,1
2339,4,Graduate,Yes,2200000,7900000,18,848,5100000,1700000,8500000,1600000,1
2340,4,Not Graduate,Yes,5200000,18300000,10,355,400000,3800000,10600000,3400000,0
2341,2,Graduate,No,3600000,12100000,14,408,10100000,4200000,13000000,5400000,0
2342,2,Graduate,No,3900000,13600000,10,373,11600000,1000000,8400000,3600000,0
2343,2,Graduate,No,6500000,16200000,10,809,14000000,4700000,13200000,8600000,1
2344,2,Graduate,Yes,7700000,19300000,8,735,1200000,1900000,23800000,10400000,1
2345,3,Graduate,Yes,6900000,19000000,14,348,4200000,3700000,19400000,4900000,0
2346,0,Graduate,No,1400000,2700000,2,649,2600000,1000000,5500000,1100000,1
2347,2,Graduate,No,5200000,13500000,2,777,7000000,5200000,15500000,6100000,1
2348,1,Not Graduate,No,2200000,5200000,14,682,2600000,600000,6100000,1800000,1
2349,1,Not Graduate,No,900000,3500000,18,395,2500000,800000,3000000,1300000,0
2350,5,Graduate,Yes,8100000,20300000,18,751,1600000,7900000,31700000,7400000,1
2351,0,Not Graduate,Yes,3700000,9300000,14,531,8300000,1000000,8900000,1900000,0
2352,5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1
2353,2,Graduate,Yes,6900000,13900000,8,829,14300000,8100000,22400000,4600000,1
2354,5,Graduate,No,700000,1900000,4,784,500000,1000000,2100000,600000,1
2355,4,Not Graduate,No,7400000,17900000,6,384,13400000,12300000,22400000,4700000,0
2356,5,Not Graduate,Yes,7600000,23000000,10,829,3100000,7300000,17600000,7300000,1
2357,1,Not Graduate,No,8000000,30900000,2,315,23500000,1200000,19500000,7300000,1
2358,3,Graduate,Yes,5300000,16900000,2,350,15800000,3100000,14300000,6800000,1
2359,3,Graduate,No,8200000,28300000,2,530,15000000,10500000,20200000,12100000,1
2360,2,Graduate,No,6900000,18200000,20,396,15600000,4300000,22900000,5400000,0
2361,2,Graduate,Yes,4900000,12600000,2,767,1100000,7400000,13000000,3800000,1
2362,2,Not Graduate,No,8800000,19000000,14,637,13700000,13900000,27100000,6100000,1
2363,3,Not Graduate,No,6400000,24400000,4,483,7800000,2400000,19100000,4500000,1
2364,3,Not Graduate,No,3900000,10500000,20,821,1600000,6300000,11000000,3900000,1
2365,5,Not Graduate,No,6800000,18000000,12,690,17800000,11800000,25000000,9300000,1
2366,5,Graduate,Yes,5200000,12700000,16,718,11700000,100000,18100000,7200000,1
2367,5,Graduate,Yes,4100000,10100000,4,792,4400000,6100000,8600000,4900000,1
2368,4,Graduate,Yes,5900000,19600000,8,726,17400000,6800000,20100000,8000000,1
2369,0,Graduate,No,6800000,18400000,2,791,4000000,900000,20200000,9900000,1
2370,3,Graduate,No,9600000,37800000,10,418,6700000,5500000,34900000,11300000,0
2371,0,Not Graduate,No,7500000,18200000,6,782,7400000,12000000,19800000,4100000,1
2372,4,Graduate,No,7800000,25400000,18,425,3000000,14000000,30500000,7200000,0
2373,3,Graduate,Yes,4700000,13200000,12,440,4000000,3300000,16600000,4300000,0
2374,2,Not Graduate,No,5500000,19600000,16,328,2400000,4800000,10900000,3700000,0
2375,3,Graduate,No,1700000,5400000,6,710,4800000,700000,5800000,1700000,1
2376,5,Not Graduate,Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,0
2377,0,Not Graduate,Yes,3300000,8900000,2,418,4200000,6000000,9300000,3700000,0
2378,4,Not Graduate,Yes,8200000,17300000,12,588,9700000,1200000,20700000,4800000,1
2379,4,Not Graduate,Yes,1400000,5100000,14,312,4000000,1000000,3200000,1400000,0
2380,3,Not Graduate,Yes,2700000,6100000,14,630,3900000,2800000,10600000,2300000,1
2381,0,Graduate,No,6100000,23600000,20,856,3300000,5200000,17700000,6400000,1
2382,0,Graduate,No,8500000,21000000,6,665,3600000,9600000,27500000,11300000,1
2383,3,Graduate,No,7400000,17500000,20,317,17700000,14000000,27000000,9500000,0
2384,3,Not Graduate,Yes,8200000,28900000,10,447,4400000,14700000,29400000,6800000,0
2385,3,Not Graduate,Yes,700000,1700000,8,733,1200000,800000,2400000,500000,1
2386,2,Graduate,No,6000000,13900000,4,533,3000000,9600000,14600000,4100000,0
2387,4,Graduate,No,7800000,28600000,2,703,500000,12400000,29500000,10500000,1
2388,1,Graduate,No,8700000,33200000,4,866,19600000,15900000,23700000,10500000,1
2389,3,Not Graduate,No,8100000,21600000,4,740,22400000,3700000,16900000,9900000,1
2390,2,Graduate,No,3100000,7300000,14,504,3200000,0,7200000,1500000,0
2391,5,Graduate,Yes,5400000,21400000,12,399,4000000,9700000,12400000,6800000,0
2392,4,Not Graduate,Yes,8100000,18000000,8,817,1400000,7800000,16900000,10800000,1
2393,2,Graduate,Yes,6300000,24600000,8,464,7700000,2200000,13000000,6900000,0
2394,1,Graduate,Yes,7100000,19300000,16,738,7200000,0,24300000,3600000,1
2395,0,Not Graduate,No,1500000,4900000,12,651,1600000,2800000,4600000,800000,1
2396,3,Graduate,No,2300000,5600000,18,420,1300000,600000,6700000,2100000,0
2397,4,Not Graduate,No,2900000,11200000,10,744,6600000,4000000,7300000,1600000,1
2398,3,Graduate,Yes,800000,2500000,20,395,1500000,300000,1600000,500000,0
2399,2,Not Graduate,Yes,2100000,5600000,16,426,400000,300000,7100000,1200000,0
2400,1,Graduate,No,6500000,18500000,16,815,6300000,10000000,13400000,4000000,1
2401,2,Not Graduate,Yes,2800000,7000000,2,834,500000,2900000,8100000,1300000,1
2402,3,Not Graduate,Yes,4000000,11600000,6,539,5900000,2600000,12100000,4700000,0
2403,1,Not Graduate,Yes,6300000,23900000,10,844,16300000,4900000,16800000,4500000,1
2404,0,Graduate,Yes,600000,2300000,4,319,1600000,800000,2300000,700000,1
2405,5,Not Graduate,Yes,7600000,16500000,8,534,8900000,10300000,24900000,8300000,0
2406,4,Not Graduate,Yes,6400000,21300000,20,332,3600000,9100000,16200000,8000000,0
2407,3,Graduate,Yes,7000000,26300000,12,481,14300000,12800000,15100000,9900000,0
2408,5,Graduate,Yes,9700000,22600000,16,346,23500000,12900000,26800000,13000000,0
2409,1,Not Graduate,No,7600000,24600000,12,810,1300000,10500000,30300000,5200000,1
2410,1,Not Graduate,Yes,1900000,4700000,2,870,4700000,2300000,3900000,2300000,1
2411,0,Not Graduate,No,9100000,30100000,8,322,26200000,9500000,18800000,5900000,0
2412,0,Graduate,Yes,4000000,14500000,2,713,6200000,4900000,12200000,4700000,1
2413,3,Not Graduate,No,3900000,11900000,6,607,6600000,6000000,8800000,2000000,1
2414,0,Not Graduate,Yes,7200000,19800000,12,658,12700000,8100000,25000000,7300000,1
2415,0,Graduate,Yes,700000,2100000,12,813,200000,1300000,2200000,500000,1
2416,2,Graduate,No,2200000,6800000,20,546,4600000,200000,4500000,2200000,0
2417,5,Not Graduate,Yes,2600000,9300000,16,697,5100000,1200000,7700000,3700000,1
2418,2,Not Graduate,No,5200000,16800000,18,369,5400000,8600000,17000000,6800000,0
2419,3,Not Graduate,Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,1
2420,3,Graduate,Yes,1700000,3400000,6,488,100000,500000,4500000,1600000,0
2421,1,Graduate,No,8100000,29600000,4,672,8200000,5100000,21100000,5400000,1
2422,4,Not Graduate,No,8600000,26700000,10,895,2200000,8800000,22600000,6900000,1
2423,3,Graduate,No,5600000,20600000,6,487,6400000,9700000,20200000,4100000,0
2424,5,Not Graduate,Yes,1700000,4600000,12,503,900000,2200000,4800000,1200000,0
2425,4,Graduate,No,4200000,14600000,6,324,6300000,5900000,11700000,3000000,0
2426,1,Graduate,Yes,4000000,12100000,12,356,10500000,2500000,15600000,5000000,0
2427,2,Graduate,No,1900000,5200000,6,896,4300000,100000,6200000,2400000,1
2428,0,Graduate,Yes,4700000,16200000,16,317,12700000,400000,9400000,2500000,0
2429,2,Not Graduate,Yes,2300000,8100000,2,504,1800000,3100000,4600000,3100000,1
2430,1,Graduate,Yes,8700000,30000000,12,543,21900000,12700000,30600000,12700000,0
2431,1,Graduate,No,6000000,21200000,12,549,17900000,8200000,16900000,6200000,0
2432,0,Not Graduate,No,9900000,27000000,16,566,3500000,17300000,36900000,11500000,1
2433,3,Not Graduate,No,4900000,12900000,18,877,1800000,7000000,17900000,3300000,1
2434,4,Not Graduate,No,9700000,31700000,10,342,700000,100000,36700000,12000000,0
2435,2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0
2436,2,Not Graduate,No,3600000,8000000,12,566,10500000,3000000,8900000,2700000,1
2437,3,Not Graduate,Yes,1400000,4600000,8,543,1500000,1200000,2700000,2000000,0
2438,0,Graduate,Yes,900000,3500000,6,331,2400000,1400000,3500000,1100000,0
2439,1,Graduate,No,800000,2300000,10,770,900000,900000,2900000,1100000,1
2440,2,Not Graduate,Yes,600000,2300000,12,335,400000,900000,1200000,400000,0
2441,0,Not Graduate,No,5600000,19300000,18,544,6400000,2800000,19900000,6400000,0
2442,2,Graduate,Yes,8600000,21600000,16,804,15400000,300000,26800000,7100000,1
2443,5,Graduate,Yes,3800000,10300000,16,606,7700000,1900000,9900000,2700000,1
2444,3,Not Graduate,Yes,7600000,29300000,8,843,21500000,3000000,22800000,11200000,1
2445,3,Graduate,No,4200000,12500000,20,375,1300000,5100000,10900000,2400000,0
2446,1,Not Graduate,No,6300000,17800000,12,770,6000000,3000000,17000000,3200000,1
2447,1,Not Graduate,Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000,1
2448,2,Not Graduate,Yes,2900000,8300000,10,693,7500000,1900000,9700000,4300000,1
2449,0,Graduate,No,6800000,21700000,20,730,17500000,1300000,18600000,3600000,1
2450,3,Graduate,No,6500000,16800000,10,388,9500000,800000,14900000,7200000,0
2451,2,Not Graduate,No,9500000,25400000,16,451,19000000,2900000,33800000,11400000,0
2452,5,Not Graduate,No,500000,1500000,12,527,100000,600000,1100000,200000,0
2453,3,Graduate,Yes,3400000,7200000,12,733,4800000,2700000,8100000,2200000,1
2454,1,Graduate,No,5400000,17900000,14,727,13100000,0,12300000,4700000,1
2455,0,Graduate,No,1800000,5800000,18,348,2900000,700000,6700000,1000000,0
2456,3,Graduate,No,6600000,22200000,12,759,8900000,2200000,18700000,8500000,1
2457,4,Graduate,Yes,2900000,10500000,8,607,4400000,5500000,7600000,3800000,1
2458,0,Graduate,Yes,6100000,19700000,16,678,13700000,2300000,19300000,5500000,1
2459,2,Not Graduate,Yes,5100000,13300000,14,313,5900000,7900000,18000000,3900000,0
2460,3,Not Graduate,No,8500000,30800000,14,745,11000000,8200000,19400000,7200000,1
2461,0,Not Graduate,No,7800000,28800000,12,465,4700000,7500000,28800000,7400000,0
2462,0,Graduate,Yes,6600000,21200000,18,377,1000000,9600000,14800000,9500000,0
2463,1,Graduate,Yes,7400000,29500000,16,323,10000000,4400000,29400000,8100000,0
2464,1,Graduate,Yes,5400000,19500000,18,688,12100000,800000,17000000,3500000,1
2465,2,Graduate,No,4500000,9600000,16,404,1800000,6000000,17000000,2700000,0
2466,3,Graduate,No,6100000,13500000,2,717,15700000,4200000,16100000,3400000,1
2467,4,Not Graduate,Yes,6100000,12500000,14,862,11300000,1500000,21900000,6800000,1
2468,1,Graduate,Yes,5400000,19300000,12,784,5000000,1800000,20300000,6500000,1
2469,5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1
2470,2,Not Graduate,No,8400000,28300000,10,822,1800000,16000000,33000000,4400000,1
2471,5,Not Graduate,No,6600000,13600000,4,861,11700000,8400000,14600000,5400000,1
2472,3,Not Graduate,No,9000000,26500000,8,533,17100000,12400000,27800000,6000000,0
2473,1,Graduate,Yes,3500000,10800000,14,632,6900000,1500000,10900000,4200000,1
2474,0,Graduate,No,8400000,17500000,18,411,13200000,5300000,31300000,10400000,0
2475,2,Graduate,No,7600000,28300000,12,800,19700000,14800000,15600000,7800000,1
2476,0,Graduate,No,5300000,19500000,12,802,9800000,3300000,15200000,3200000,1
2477,1,Not Graduate,No,4500000,12400000,6,504,12000000,3200000,13100000,2200000,0
2478,4,Not Graduate,Yes,7500000,18000000,20,395,200000,12800000,23500000,9700000,0
2479,4,Graduate,Yes,9100000,28400000,12,808,25800000,11800000,19300000,9700000,1
2480,1,Not Graduate,No,4100000,12200000,6,354,7300000,5600000,16300000,3500000,0
2481,3,Graduate,No,3100000,11000000,2,543,5900000,2200000,9000000,2400000,1
2482,5,Graduate,No,6900000,26500000,16,322,20500000,9800000,17100000,9400000,0
2483,0,Graduate,No,9100000,22200000,6,419,7400000,600000,18200000,9800000,0
2484,1,Graduate,No,2300000,6600000,2,357,5900000,200000,6000000,2200000,0
2485,4,Not Graduate,No,5000000,18700000,10,755,3600000,600000,13000000,2600000,1
2486,0,Graduate,No,8600000,29000000,18,481,21200000,2600000,27700000,5400000,0
2487,4,Not Graduate,Yes,8600000,21400000,14,476,6200000,2700000,28000000,12800000,0
2488,4,Not Graduate,Yes,6400000,15500000,2,324,18400000,11100000,13900000,4500000,0
2489,2,Not Graduate,Yes,200000,700000,16,641,600000,200000,600000,100000,1
2490,3,Not Graduate,Yes,9100000,29300000,2,508,19000000,5100000,31600000,11900000,1
2491,5,Graduate,Yes,9600000,32400000,2,897,3500000,15400000,26800000,6200000,1
2492,1,Graduate,Yes,6100000,17800000,20,706,16000000,10900000,16900000,4300000,1
2493,2,Not Graduate,Yes,1700000,5100000,18,321,2000000,2800000,5100000,1500000,0
2494,1,Graduate,No,6500000,23100000,20,741,11400000,8500000,25700000,7900000,1
2495,5,Not Graduate,No,4700000,17400000,2,523,10600000,7000000,10900000,5200000,1
2496,1,Not Graduate,No,2600000,7900000,12,306,2000000,2400000,7600000,3300000,0
2497,2,Graduate,No,4400000,9800000,18,712,5400000,200000,8800000,6400000,1
2498,0,Not Graduate,No,6600000,25600000,8,718,12600000,12200000,21700000,9000000,1
2499,4,Graduate,No,3800000,10400000,10,833,7500000,2500000,14100000,4200000,1
2500,1,Not Graduate,No,7000000,26600000,16,460,20500000,3300000,27700000,4600000,0
2501,0,Not Graduate,No,5100000,13600000,18,351,1700000,3700000,14400000,7600000,0
2502,5,Not Graduate,No,5000000,10800000,10,345,12300000,5000000,14100000,6300000,0
2503,1,Not Graduate,No,2100000,5300000,20,461,1500000,3800000,8100000,1700000,0
2504,0,Not Graduate,Yes,6800000,17300000,18,841,10500000,8600000,16000000,8700000,1
2505,4,Not Graduate,No,1500000,4000000,18,706,0,2700000,4400000,1700000,1
2506,4,Not Graduate,Yes,2800000,9200000,18,442,5800000,4800000,8400000,1300000,0
2507,3,Graduate,Yes,1100000,4100000,20,863,800000,1100000,3700000,600000,1
2508,1,Graduate,No,2500000,5900000,12,668,7400000,600000,6300000,3700000,1
2509,0,Graduate,No,7100000,15900000,14,746,9500000,3900000,23500000,8000000,1
2510,2,Not Graduate,Yes,2900000,7800000,18,588,400000,100000,11600000,4200000,1
2511,0,Graduate,No,6500000,16200000,4,812,17200000,10700000,20200000,6200000,1
2512,1,Graduate,Yes,3300000,11700000,4,682,3500000,5500000,12300000,1600000,1
2513,2,Not Graduate,No,2500000,8600000,8,835,2500000,4000000,7700000,1300000,1
2514,5,Not Graduate,No,3900000,14900000,12,837,1100000,500000,14400000,3600000,1
2515,2,Graduate,Yes,6200000,23800000,4,489,2900000,7500000,21300000,3300000,1
2516,1,Not Graduate,No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0
2517,1,Graduate,No,2600000,7200000,8,349,5900000,1400000,9400000,3000000,0
2518,3,Not Graduate,Yes,8700000,27200000,18,454,9100000,9300000,30900000,12000000,0
2519,0,Not Graduate,No,5100000,13400000,16,649,6800000,1600000,15700000,3900000,1
2520,0,Not Graduate,Yes,6100000,15900000,18,456,12900000,10800000,19100000,8800000,0
2521,3,Not Graduate,No,3300000,13100000,2,554,6000000,2500000,6700000,3800000,1
2522,5,Not Graduate,Yes,2900000,7500000,12,678,3400000,3000000,10900000,3700000,1
2523,3,Graduate,No,4700000,17400000,10,393,12400000,5300000,18700000,5300000,0
2524,2,Graduate,No,4000000,13000000,4,695,6400000,6900000,15400000,4300000,1
2525,0,Graduate,Yes,4100000,11100000,16,785,6800000,5300000,8500000,4800000,1
2526,3,Not Graduate,Yes,8800000,25100000,8,473,17200000,600000,24400000,12400000,0
2527,2,Not Graduate,Yes,7800000,29600000,14,568,-100000,8600000,27000000,7200000,1
2528,2,Not Graduate,Yes,3800000,10000000,12,516,2400000,4200000,14200000,5100000,0
2529,2,Not Graduate,No,2100000,5000000,4,542,700000,600000,6600000,3100000,0
2530,2,Not Graduate,No,1700000,4200000,14,829,200000,1600000,4600000,1600000,1
2531,2,Graduate,Yes,5700000,15100000,18,330,5900000,3800000,16600000,6200000,0
2532,5,Graduate,Yes,3500000,13500000,10,535,3100000,5700000,12500000,3100000,0
2533,1,Not Graduate,Yes,8000000,27800000,8,804,7900000,1600000,27100000,11800000,1
2534,3,Not Graduate,No,7400000,23400000,16,700,19300000,3000000,20700000,8900000,1
2535,5,Graduate,No,6500000,24800000,8,779,7000000,9600000,15700000,8800000,1
2536,3,Not Graduate,Yes,3200000,11100000,6,708,8900000,5700000,8100000,1500000,1
2537,4,Not Graduate,No,1200000,3300000,12,876,400000,100000,3800000,1000000,1
2538,3,Graduate,No,1900000,4100000,12,830,4600000,1100000,5300000,2100000,1
2539,3,Graduate,No,1400000,3300000,2,652,100000,2100000,3500000,1900000,1
2540,2,Not Graduate,No,4100000,11100000,8,390,800000,3100000,10100000,3400000,0
2541,3,Graduate,Yes,6800000,23900000,12,565,18800000,2800000,18800000,6700000,1
2542,4,Graduate,Yes,8600000,19200000,4,868,20400000,1500000,32800000,9300000,1
2543,3,Graduate,Yes,8000000,26300000,12,476,21700000,6600000,16400000,9000000,0
2544,2,Not Graduate,No,5700000,16400000,12,708,3700000,800000,15000000,4400000,1
2545,0,Not Graduate,No,2200000,8600000,4,563,900000,1000000,4400000,2800000,1
2546,1,Graduate,Yes,7700000,16900000,6,621,22600000,7900000,27400000,10200000,1
2547,2,Not Graduate,No,5000000,14700000,12,837,2200000,7200000,11700000,4800000,1
2548,0,Graduate,No,5200000,13400000,2,505,12000000,7900000,20400000,6200000,0
2549,1,Not Graduate,Yes,5400000,13600000,4,821,11600000,8700000,19900000,5600000,1
2550,5,Not Graduate,No,9200000,23900000,10,335,5800000,15300000,35400000,10700000,0
2551,1,Graduate,Yes,8100000,31700000,10,755,0,12700000,30100000,4700000,1
2552,0,Not Graduate,Yes,1800000,6500000,12,728,3500000,0,6100000,1900000,1
2553,4,Not Graduate,Yes,400000,1500000,2,669,-100000,600000,900000,500000,1
2554,1,Not Graduate,Yes,3700000,10900000,14,748,3700000,2800000,13200000,4100000,1
2555,5,Graduate,No,7900000,17700000,2,559,19700000,2800000,28900000,5400000,1
2556,4,Graduate,Yes,1800000,4600000,14,453,1700000,2400000,4700000,1600000,0
2557,3,Graduate,No,1400000,3500000,16,365,2600000,2200000,2900000,1600000,0
2558,3,Graduate,Yes,7800000,25600000,6,523,13600000,7100000,20800000,9200000,0
2559,2,Not Graduate,No,2700000,5900000,14,662,3200000,1600000,7300000,3800000,1
2560,1,Not Graduate,Yes,500000,1900000,12,868,200000,500000,1800000,300000,1
2561,0,Not Graduate,Yes,8400000,27200000,10,514,2500000,6400000,20100000,7200000,0
2562,2,Not Graduate,Yes,8300000,17600000,2,355,1000000,700000,28400000,6800000,0
2563,2,Not Graduate,No,8600000,21700000,4,429,5500000,10800000,30900000,6000000,0
2564,0,Graduate,No,5800000,21100000,6,414,7900000,2400000,16000000,5600000,0
2565,1,Graduate,Yes,600000,1900000,8,445,1200000,100000,1600000,300000,0
2566,0,Graduate,No,5000000,14400000,4,874,3000000,9300000,14100000,3900000,1
2567,5,Not Graduate,No,4100000,12300000,6,582,10900000,6100000,14100000,3500000,1
2568,2,Graduate,No,7800000,26400000,4,763,2200000,8400000,16600000,6700000,1
2569,0,Graduate,No,7400000,24900000,20,648,7100000,7900000,23300000,6200000,1
2570,2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1
2571,2,Graduate,No,7000000,24200000,8,833,13700000,4100000,26100000,9100000,1
2572,4,Graduate,No,5800000,12000000,12,811,9400000,8800000,14200000,3100000,1
2573,1,Graduate,No,8200000,17500000,4,609,4500000,5600000,24100000,7700000,1
2574,3,Not Graduate,Yes,2100000,7400000,4,320,3300000,2700000,6300000,2200000,1
2575,5,Graduate,No,1300000,2700000,6,607,800000,1500000,4700000,1600000,1
2576,0,Graduate,Yes,800000,1700000,4,752,2300000,1100000,3200000,400000,1
2577,0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,1
2578,2,Graduate,Yes,2900000,7300000,8,394,7700000,2600000,7700000,4000000,0
2579,2,Graduate,No,4100000,12800000,16,344,10300000,7000000,15800000,4100000,0
2580,1,Not Graduate,Yes,8400000,24700000,18,698,23000000,13200000,32700000,12200000,1
2581,2,Graduate,No,5100000,11000000,14,322,7900000,2900000,10700000,5900000,0
2582,1,Graduate,No,2900000,10900000,20,445,6600000,2800000,9300000,2600000,0
2583,0,Not Graduate,No,6000000,22900000,16,302,12200000,6500000,17700000,7100000,0
2584,1,Graduate,No,4600000,16700000,16,407,13000000,6000000,9800000,2800000,0
2585,0,Graduate,No,7400000,20900000,6,635,15600000,14000000,21000000,7200000,1
2586,4,Graduate,Yes,4000000,8400000,8,717,7400000,4900000,11900000,4000000,1
2587,0,Graduate,No,400000,1200000,4,766,900000,300000,1200000,300000,1
2588,0,Graduate,Yes,5900000,15100000,10,794,6000000,4300000,14900000,5400000,1
2589,3,Not Graduate,No,5600000,19900000,16,551,14000000,4200000,16100000,4500000,1
2590,1,Not Graduate,No,2900000,11500000,20,431,3600000,3800000,5900000,3100000,0
2591,0,Not Graduate,No,1600000,4500000,18,463,100000,2000000,4100000,1800000,0
2592,4,Not Graduate,Yes,7000000,19800000,16,682,9300000,5300000,14500000,7300000,1
2593,2,Not Graduate,Yes,9500000,37500000,4,456,10200000,16800000,34100000,12900000,1
2594,0,Not Graduate,Yes,3600000,13400000,6,589,3600000,0,11200000,4000000,1
2595,1,Not Graduate,No,400000,1600000,16,784,800000,700000,700000,100000,1
2596,0,Graduate,Yes,7800000,23300000,10,587,12500000,9300000,27500000,9700000,1
2597,1,Graduate,No,5100000,13800000,14,350,6200000,2200000,12600000,3600000,0
2598,5,Graduate,Yes,4100000,15500000,10,836,10500000,1100000,15200000,3600000,1
2599,3,Not Graduate,Yes,9300000,23500000,16,728,3500000,9900000,27300000,9800000,1
2600,4,Not Graduate,No,4300000,13900000,2,894,10100000,100000,8600000,3300000,1
2601,3,Graduate,Yes,1500000,4100000,14,611,600000,2000000,4800000,2100000,1
2602,3,Graduate,Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,0
2603,3,Not Graduate,Yes,8100000,29300000,2,413,8100000,15100000,25500000,6400000,1
2604,0,Not Graduate,No,1900000,6700000,12,595,3000000,3200000,4900000,1700000,1
2605,4,Not Graduate,No,2900000,8700000,6,409,3700000,5500000,8200000,2200000,0
2606,0,Not Graduate,Yes,800000,2400000,4,518,500000,800000,2800000,500000,1
2607,3,Graduate,No,9600000,34500000,20,523,26100000,2600000,24300000,5300000,0
2608,3,Not Graduate,No,4700000,16700000,12,775,4000000,1700000,17300000,3500000,1
2609,4,Not Graduate,No,6800000,17000000,2,749,18000000,3800000,27100000,9400000,1
2610,3,Not Graduate,No,5600000,21000000,12,609,8800000,11000000,15800000,4900000,1
2611,2,Graduate,No,4000000,9200000,16,784,3200000,600000,13000000,4900000,1
2612,3,Not Graduate,Yes,6700000,15800000,4,445,10500000,7600000,14100000,9100000,0
2613,5,Graduate,Yes,9600000,38000000,10,359,2100000,13600000,38200000,9400000,0
2614,1,Graduate,Yes,9000000,18800000,8,797,4100000,9400000,22900000,7500000,1
2615,4,Graduate,Yes,1200000,3100000,16,348,1200000,2200000,3500000,1700000,0
2616,0,Not Graduate,Yes,900000,2100000,6,521,100000,1700000,2100000,700000,0
2617,5,Not Graduate,Yes,3100000,10900000,12,884,6100000,3700000,12300000,4100000,1
2618,3,Not Graduate,Yes,7200000,21600000,2,626,10600000,1600000,26900000,3700000,1
2619,0,Graduate,No,3500000,8800000,12,803,5400000,300000,8400000,3400000,1
2620,1,Graduate,No,6700000,18700000,8,583,9300000,4100000,17100000,6900000,1
2621,3,Not Graduate,Yes,8200000,20600000,10,441,16100000,11400000,29100000,6100000,0
2622,4,Not Graduate,Yes,3200000,6800000,16,675,8000000,1900000,6800000,4000000,1
2623,3,Graduate,Yes,1700000,5800000,10,524,4100000,2900000,6600000,800000,0
2624,3,Graduate,Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,1
2625,4,Not Graduate,Yes,5000000,18100000,12,424,5200000,2000000,14500000,6100000,0
2626,0,Not Graduate,Yes,5400000,10900000,20,366,3700000,500000,21000000,4800000,0
2627,2,Graduate,No,500000,1500000,2,888,1500000,300000,1500000,600000,1
2628,2,Not Graduate,No,7800000,19400000,16,549,18600000,13300000,24100000,6900000,0
2629,4,Graduate,Yes,2500000,9000000,10,394,6700000,2000000,7300000,3000000,0
2630,1,Not Graduate,Yes,400000,900000,8,828,600000,500000,1500000,300000,1
2631,4,Graduate,No,1800000,7000000,14,743,2600000,1000000,4500000,1500000,1
2632,5,Not Graduate,Yes,1100000,2700000,4,889,1900000,1000000,2200000,500000,1
2633,4,Not Graduate,Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,1
2634,3,Graduate,No,8900000,21300000,10,467,18700000,2600000,31800000,8800000,0
2635,1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0
2636,5,Graduate,Yes,6300000,13200000,16,321,6700000,4000000,15200000,7100000,0
2637,4,Not Graduate,No,4400000,17200000,4,563,4100000,3700000,12700000,2900000,1
2638,5,Not Graduate,No,3200000,7400000,12,583,9400000,5500000,10600000,3600000,1
2639,2,Graduate,Yes,4800000,15300000,12,503,3300000,4000000,12000000,4300000,0
2640,0,Graduate,Yes,5000000,19900000,6,748,8300000,8500000,11300000,3000000,1
2641,5,Graduate,No,800000,2600000,6,560,100000,200000,3000000,1000000,1
2642,4,Graduate,Yes,6600000,16000000,16,379,6500000,12600000,24700000,4500000,0
2643,3,Graduate,No,6900000,22800000,16,582,17700000,2200000,23500000,4400000,1
2644,5,Graduate,No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0
2645,5,Graduate,No,5900000,13400000,6,455,3200000,11200000,21600000,6900000,0
2646,4,Not Graduate,Yes,2900000,8900000,18,827,400000,3400000,11200000,1600000,1
2647,0,Not Graduate,No,3100000,10100000,14,376,6400000,2600000,11600000,4300000,0
2648,4,Not Graduate,No,3800000,14100000,8,727,3900000,4900000,8200000,5400000,1
2649,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,0
